name	population
IMB_IMB05	Busa
IMB_IMB06	Busa
IMB_IMB07	Busa
IMB_IMB08	Busa
IMB_IMB09	Busa
IMB_IMB10	Busa
IMB_IMB11	Busa
IMB_IMB12	Busa
IMB_IMB13	Busa
IMB_IMB15	Busa
IMB_IMB16	Busa
IMB_IMB17	Busa
IMB_IMB18	Busa
IMB_IMB19	Busa
IMB_IMB20	Busa
IMB_IMB21	Busa
IMB_IMB22	Busa
IMB_IMB23	Busa
IMB_IMB24	Busa
IMB_IMB25	Busa
IMB_IMB26	Busa
IMB_IMB27	Busa
IMB_IMB28	Busa
IMB_IMB29	Busa
IMB_IMB31	Busa
IMB_IMB33	Busa
IMB_IMB35	Busa
IMB_IMB37	Busa
IMB_IMB38	Busa
IMB_IMB40	Busa
IMB_IMB41	Busa
IMB_IMB43	Busa
IMB_IMB45	Busa
LKB_LKB01C	Busa
LKB_LKB05A	Busa
LKB_LKB06C	Busa
LKB_LKB09A	Busa
LKB_LKB10A	Busa
LKB_LKB11A	Busa
LKB_LKB11B	Busa
LKB_LKB13B	Busa
LKB_LKB14A	Busa
LKB_LKB14B	Busa
LKB_LKB16A	Busa
LKB_LKB17A	Busa
LKB_LKB17B	Busa
LKB_LKB18A	Busa
LKB_LKB21A	Busa
LKB_LKB22A	Busa
LKB_LKB24A	Busa
LKB_LKB25A	Busa
LKB_LKB27A	Busa
LKB_LKB29A	Busa
LKB_LKB30A	Busa
LKB_LKB32A	Busa
LKB_LKB33A	Busa
LKB_LKB35A	Busa
LKB_LKB37A	Busa
LKB_LKB38A	Busa
LKB_LKB43A	Busa
MKB_MKB01	Busa
MKB_MKB02	Busa
MKB_MKB03	Busa
MKB_MKB04	Busa
MKB_MKB05	Busa
MKB_MKB06	Busa
MKB_MKB07	Busa
MKB_MKB08	Busa
MKB_MKB09	Busa
MKB_MKB10	Busa
MKB_MKB11	Busa
MKB_MKB12	Busa
MKB_MKB13	Busa
MKB_MKB14	Busa
MKB_MKB15	Busa
MKB_MKB16	Busa
MKB_MKB17	Busa
MKB_MKB18	Busa
MKB_MKB19	Busa
MKB_MKB20	Busa
MKB_MKB21	Busa
MKB_MKB22	Busa
MKB_MKB23	Busa
MKB_MKB24	Busa
MNB_MNB02	Busa
MNB_MNB04	Busa
MNB_MNB16	Busa
MNB_MNB19	Busa
MNB_MNB20	Busa
MNB_MNB22	Busa
MNB_MNB24	Busa
MNB_MNB33	Busa
MNB_MNB51	Busa
MNB_MNB52	Busa
MNB_MNB53	Busa
MNB_MNB54	Busa
MNB_MNB55	Busa
MNB_MNB56	Busa
MNB_MNB57	Busa
MNB_MNB58	Busa
MNB_MNB59	Busa
MNB_MNB60	Busa
MNB_MNB61	Busa
MNB_MNB62	Busa
PRE_PRE01	Busa
PRE_PRE02	Busa
PRE_PRE03	Busa
PRE_PRE04	Busa
PRE_PRE06	Busa
PRE_PRE07	Busa
PRE_PRE08	Busa
PRE_PRE09	Busa
PRE_PRE10	Busa
PRE_PRE11	Busa
PRE_PRE12	Busa
PRE_PRE13	Busa
PRE_PRE14	Busa
PRE_PRE15	Busa
PRE_PRE16	Busa
PRE_PRE17	Busa
PRE_PRE19	Busa
PRE_PRE20	Busa
PRE_PRE21	Busa
PRE_PRE23	Busa
PRE_PRE24	Busa
PRE_PRE26	Busa
PRE_PRE27	Busa
PRE_PRE28	Busa
PRE_PRE29	Busa
PRE_PRE30	Busa
PRE_PRE32	Busa
PRE_PRE33	Busa
PRE_PRE34	Busa
PRE_PRE37	Busa
PRE_PRE38	Busa
PRE_PRE40	Busa
PRE_PRE41	Busa
PRE_PRE42	Busa
PRE_PRE44	Busa
PRE_PRE46	Busa
PRE_PRE47	Busa
PRE_PRE48	Busa
PRE_PRE49	Busa
RHF_RH101	Busa
RHF_RH102	Busa
RHF_RH103	Busa
RHF_RH104	Busa
RHF_RH105	Busa
RHF_RH106	Busa
RHF_RH107	Busa
RHF_RH109	Busa
RHF_RH110	Busa
RHF_RH112	Busa
RHF_RH113	Busa
RHF_RH114	Busa
RHF_RH117	Busa
RHF_RH118	Busa
RHF_RH119	Busa
RHF_RH120	Busa
RHF_RH121	Busa
RHF_RH122	Busa
RHF_RH123	Busa
RHF_RH124	Busa
RHF_RH125	Busa
RHF_RH126	Busa
RHF_RH127	Busa
RHF_RH128	Busa
RHF_RH129	Busa
RHF_RH130	Busa
RHF_RH131	Busa
RHF_RH132	Busa
RHF_RH134	Busa
RHF_RH135	Busa
RHF_RH136	Busa
RHF_RH137	Busa
RHF_RH138	Busa
RHF_RH139	Busa
RHF_RH140	Busa
RHF_RH141	Busa
RHF_RH142	Busa
RHF_RH143	Busa
RHF_RH144	Busa
RHF_RH145	Busa
RHF_RH146	Busa
RHF_RH147	Busa
RHF_RH148	Busa
RHF_RH149	Busa
RHF_RH150	Busa
RHF_RH151	Busa
RHF_RH153	Busa
RHF_RH168	Busa
RHF_RH169	Busa
RHF_RH170	Busa
